Primeiro_Ano;Anos;Total_Arquivos;Qtd_Colunas;DNA_CHAVE
1985;['1985', '1986', '1987', '1988', '1989', '1990', '1991', '1992', '1993'];246;26;ano_particao, arquivo_origem, bairros sp, cbo ocupação, distritos sp, faixa etária, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, grau instrução 2005-1985, ibge subatividade, ibge subsetor, motivo desligamento, município, mês admissão, mês desligamento, nacionalidade, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo estab, tipo estab_1, tipo vínculo, vl remun dezembro (sm), vl remun média (sm), vínculo ativo 31/12
1994;['1994', '1995'];56;30;ano_particao, arquivo_origem, bairros sp, cbo 94 ocupação, cnae 95 classe, distritos sp, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, grau instrução 2005-1985, idade, motivo desligamento, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd hora contr, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo estab, tipo estab_1, tipo vínculo, vl remun dezembro (sm), vl remun média (sm), vínculo ativo 31/12
1996;['1996', '1997', '1998'];83;33;ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, cbo 94 ocupação, cnae 95 classe, distritos sp, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, grau instrução 2005-1985, idade, motivo desligamento, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd hora contr, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo estab, tipo estab_1, tipo vínculo, vl remun dezembro (sm), vl remun média (sm), vínculo ativo 31/12
1999;['1999', '2000'];53;36;ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, cbo 94 ocupação, cnae 95 classe, distritos sp, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, grau instrução 2005-1985, idade, ind cei vinculado, motivo desligamento, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd hora contr, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo estab, tipo estab_1, tipo vínculo, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vínculo ativo 31/12
2001;['2001'];27;37;ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, cbo 94 ocupação, cnae 95 classe, distritos sp, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, grau instrução 2005-1985, idade, ind cei vinculado, ind simples, motivo desligamento, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd hora contr, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo estab, tipo estab_1, tipo vínculo, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vínculo ativo 31/12
2002;['2002'];24;42;ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, causa afastamento 1, causa afastamento 2, causa afastamento 3, cbo 94 ocupação, cnae 95 classe, distritos sp, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, grau instrução 2005-1985, idade, ind cei vinculado, ind simples, motivo desligamento, mun trab, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd dias afastamento, qtd hora contr, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo estab, tipo estab_1, tipo vínculo, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vínculo ativo 31/12
2003;['2003'];27;42;ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, causa afastamento 1, causa afastamento 2, causa afastamento 3, cbo ocupação 2002, cnae 95 classe, distritos sp, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, grau instrução 2005-1985, idade, ind cei vinculado, ind simples, motivo desligamento, mun trab, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd dias afastamento, qtd hora contr, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo estab, tipo estab_1, tipo vínculo, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vínculo ativo 31/12
2004;['2004', '2005'];54;44;ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, causa afastamento 1, causa afastamento 2, causa afastamento 3, cbo ocupação 2002, cnae 2.0 classe, cnae 2.0 subclasse, cnae 95 classe, distritos sp, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, grau instrução 2005-1985, idade, ind cei vinculado, ind simples, motivo desligamento, mun trab, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd dias afastamento, qtd hora contr, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo estab, tipo estab_1, tipo vínculo, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vínculo ativo 31/12
2006;['2006'];27;45;ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, causa afastamento 1, causa afastamento 2, causa afastamento 3, cbo ocupação 2002, cnae 2.0 classe, cnae 2.0 subclasse, cnae 95 classe, distritos sp, escolaridade após 2005, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, idade, ind cei vinculado, ind simples, motivo desligamento, mun trab, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd dias afastamento, qtd hora contr, raça cor, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo estab, tipo estab_1, tipo vínculo, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vínculo ativo 31/12
2007;['2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014'];216;47;ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, causa afastamento 1, causa afastamento 2, causa afastamento 3, cbo ocupação 2002, cnae 2.0 classe, cnae 2.0 subclasse, cnae 95 classe, distritos sp, escolaridade após 2005, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, idade, ind cei vinculado, ind portador defic, ind simples, motivo desligamento, mun trab, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd dias afastamento, qtd hora contr, raça cor, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo defic, tipo estab, tipo estab_1, tipo vínculo, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vínculo ativo 31/12
2015;['2015'];27;59;ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, causa afastamento 1, causa afastamento 2, causa afastamento 3, cbo ocupação 2002, cnae 2.0 classe, cnae 2.0 subclasse, cnae 95 classe, distritos sp, escolaridade após 2005, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, ibge subsetor, idade, ind cei vinculado, ind portador defic, ind simples, motivo desligamento, mun trab, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd dias afastamento, qtd hora contr, raça cor, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo defic, tipo estab, tipo estab_1, tipo vínculo, vl rem abril cc, vl rem agosto cc, vl rem fevereiro cc, vl rem janeiro cc, vl rem julho cc, vl rem junho cc, vl rem maio cc, vl rem março cc, vl rem novembro cc, vl rem outubro cc, vl rem setembro cc, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vínculo ativo 31/12
2016;['2016'];27;60;ano chegada brasil, ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, causa afastamento 1, causa afastamento 2, causa afastamento 3, cbo ocupação 2002, cnae 2.0 classe, cnae 2.0 subclasse, cnae 95 classe, distritos sp, escolaridade após 2005, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, ibge subsetor, idade, ind cei vinculado, ind portador defic, ind simples, motivo desligamento, mun trab, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd dias afastamento, qtd hora contr, raça cor, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo defic, tipo estab, tipo estab_1, tipo vínculo, vl rem abril cc, vl rem agosto cc, vl rem fevereiro cc, vl rem janeiro cc, vl rem julho cc, vl rem junho cc, vl rem maio cc, vl rem março cc, vl rem novembro cc, vl rem outubro cc, vl rem setembro cc, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vínculo ativo 31/12
2017;['2017', '2019'];33;62;ano chegada brasil, ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, causa afastamento 1, causa afastamento 2, causa afastamento 3, cbo ocupação 2002, cnae 2.0 classe, cnae 2.0 subclasse, cnae 95 classe, distritos sp, escolaridade após 2005, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, ibge subsetor, idade, ind cei vinculado, ind portador defic, ind simples, ind trab intermitente, ind trab parcial, motivo desligamento, mun trab, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd dias afastamento, qtd hora contr, raça cor, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo defic, tipo estab, tipo estab_1, tipo vínculo, vl rem abril cc, vl rem agosto cc, vl rem fevereiro cc, vl rem janeiro cc, vl rem julho cc, vl rem junho cc, vl rem maio cc, vl rem março cc, vl rem novembro cc, vl rem outubro cc, vl rem setembro cc, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vínculo ativo 31/12
2018;['2018'];6;64;ano chegada brasil, ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, causa afastamento 1, causa afastamento 2, causa afastamento 3, cbo ocupação 2002, cnae 2.0 classe, cnae 2.0 subclasse, cnae 95 classe, distritos sp, escolaridade após 2005, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, ibge subsetor, idade, ind cei vinculado, ind portador defic, ind simples, ind trab intermitente, ind trab parcial, motivo desligamento, mun trab, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd dias afastamento, qtd hora contr, raça cor, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo defic, tipo estab, tipo estab_1, tipo salário, tipo vínculo, vl rem abril cc, vl rem agosto cc, vl rem fevereiro cc, vl rem janeiro cc, vl rem julho cc, vl rem junho cc, vl rem maio cc, vl rem março cc, vl rem novembro cc, vl rem outubro cc, vl rem setembro cc, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vl salário contratual, vínculo ativo 31/12
2020;['2020', '2021', '2022'];19;62;ano chegada brasil, ano_particao, arquivo_origem, bairros fortaleza, bairros rj, bairros sp, causa afastamento 1, causa afastamento 2, causa afastamento 3, cbo ocupação 2002, cnae 2.0 classe, cnae 2.0 subclasse, cnae 95 classe, distritos sp, escolaridade após 2005, faixa etária, faixa hora contrat, faixa remun dezem (sm), faixa remun média (sm), faixa tempo emprego, ibge subsetor, idade, ind cei vinculado, ind portador defic, ind simples, ind trab intermitente, ind trab parcial, motivo desligamento, mun trab, município, mês admissão, mês desligamento, nacionalidade, natureza jurídica, qtd dias afastamento, qtd hora contr, raça cor, regiões adm df, sexo trabalhador, tamanho estabelecimento, tempo emprego, tipo admissão, tipo defic, tipo estab, tipo estab_1, tipo vínculo, vl rem abril sc, vl rem agosto sc, vl rem fevereiro sc, vl rem janeiro sc, vl rem julho sc, vl rem junho sc, vl rem maio sc, vl rem março sc, vl rem novembro sc, vl rem outubro sc, vl rem setembro sc, vl remun dezembro (sm), vl remun dezembro nom, vl remun média (sm), vl remun média nom, vínculo ativo 31/12
2023;['2023', '2024'];14;63;ano chegada brasil, ano_particao, arquivo_origem, bairros fortaleza - código, bairros rj - código, bairros sp - código, causa afastamento 1 - código, causa afastamento 2 - código, causa afastamento 3 - código, cbo 2002 ocupação - código, cnae 2.0 classe - código, cnae 2.0 subclasse - código, cnae 95 classe - código, distritos sp - código, escolaridade após 2005 - código, faixa etária - código, faixa hora contrat - código, faixa rem dez (sm) - código, faixa rem média (sm) - código, faixa tempo emprego - código, ibge subsetor - código, idade, ind cei vinculado - código, ind estabelecimento participante simples - código, ind portador defic - código, ind trabalho intermitente - código, ind trabalho parcial - código, ind vínculo abandonado - código, ind vínculo ativo 31/12 - código, motivo desligamento - código, município - código, município trab - código, mês admissão - código, mês desligamento - código, nacionalidade - código, natureza jurídica - código, qtd dias afastamento, qtd hora contr, raça cor - código, região adm df - código, sexo - código, tamanho estabelecimento - código, tempo emprego, tipo admissão trabalhador - código, tipo deficiência - código, tipo estabelecimento - código, tipo estabelecimento - nome, tipo vínculo - código, vl rem abril sc, vl rem agosto sc, vl rem dezembro (sm), vl rem dezembro nom, vl rem fevereiro sc, vl rem janeiro sc, vl rem julho sc, vl rem junho sc, vl rem maio sc, vl rem março sc, vl rem média (sm), vl rem média nom, vl rem novembro sc, vl rem outubro sc, vl rem setembro sc
